Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV031,CH007-CH008,,,5/21/2018 17:35,5/21/2018 17:40,200.358,260.42,16.748,77.5,99
EV031,CH007-CH008,,,5/21/2018 16:26,5/21/2018 16:35,326.921,360.84,31.728,56,98
EV031,CH007-CH008,,,5/21/2018 15:23,5/21/2018 15:30,202.852,246.08,25.134,62.5,98
EV031,CH007-CH008,,,5/21/2018 14:20,5/21/2018 14:30,207.853,290.58,29.876,58,100
EV031,CH007-CH008,,,5/21/2018 13:21,5/21/2018 13:28,277.731,351.3,25.458,63,100
EV031,CH007-CH008,,,5/21/2018 12:19,5/21/2018 12:27,176.087,242.18,23.975,65.5,100
EV031,CH007-CH008,,,5/21/2018 11:19,5/21/2018 11:27,249.206,351.66,26.66,62.5,100
EV031,CH007-CH008,,,5/21/2018 10:20,5/21/2018 10:27,214.687,242.18,23.314,66,100
EV031,CH007-CH008,,,5/21/2018 9:21,5/21/2018 9:27,271.342,328.52,19.825,74,100
EV031,CH007-CH008,,,5/21/2018 8:19,5/21/2018 8:25,239.884,339.12,22.43,67.5,100
EV031,CH007-CH008,,,5/21/2018 7:20,5/21/2018 7:25,135.198,304.4,19.224,74.5,100
EV031,CH007-CH008,,,5/21/2018 6:21,5/21/2018 6:31,235.268,328.74,26.436,62.5,100
EV031,CH007-CH008,,,5/20/2018 18:29,5/20/2018 19:29,34.417,39.84,38.746,45,100
EV031,CH007-CH008,,,5/20/2018 16:31,5/20/2018 16:35,190.023,331.5,16.874,53,76
EV031,CH007-CH008,,,5/20/2018 15:22,5/20/2018 15:27,234.884,309.22,22.961,55,85
EV031,CH007-CH008,,,5/20/2018 14:25,5/20/2018 14:29,257.218,345.66,20.222,62.5,90
EV031,CH007-CH008,,,5/20/2018 12:59,5/20/2018 13:05,226.774,323.22,20.092,73.5,100
EV031,CH007-CH008,,,5/20/2018 11:59,5/20/2018 12:06,216.264,349.96,25.469,64,100
EV031,CH007-CH008,,,5/20/2018 10:57,5/20/2018 11:04,281.687,355.66,26.31,62.5,100
EV031,CH007-CH008,,,5/20/2018 9:57,5/20/2018 10:02,244.675,313.44,20.34,73,100
EV031,CH007-CH008,,,5/20/2018 8:55,5/20/2018 9:07,184.338,337.7,20.661,57,99
EV031,CH007-CH008,,,5/19/2018 18:49,5/19/2018 18:58,115.926,340.66,33.358,52.5,96.5
EV031,CH007-CH008,,,5/19/2018 18:15,5/19/2018 18:17,266.413,279.1,11.152,75,88.5
